uniprot_id,protein_name,organism,classification,n_entries,pdb_codes
P40409,IRON-UPTAKE SYSTEM-BINDING PROTEIN,Bacillus subtilis,TRANSPORT PROTEIN,2,"2xuz,2xv1"
D0C9L6,Peptidyl-tRNA hydrolase,Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,HYDROLASE,2,"4jwk,4jx9"
U3KMH2,Transcription initiation factor TFIID subunit,Oryctolagus cuniculus,Transcription/Inhibitor,2,"6df4,6df7"
Q9R4E4,3-phosphoshikimate 1-carboxyvinyltransferase,Agrobacterium sp. CP4,TRANSFERASE,2,"2pqb,2pqc"
Q9RHV9,Lysyl-tRNA synthetase,Geobacillus stearothermophilus,LIGASE,2,"3e9h,3e9i"
P42568,Protein AF-9,Homo sapiens,TRANSCRIPTION,2,"4tmp,5yyf"
Q7B8P6,CmeR,Campylobacter jejuni,TRANSCRIPTION,2,"3qps,3qqa"
D5CV28,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,Escherichia coli IHE3034,HYDROLASE,2,"3p3g,3ps1"
Q2HRB6,KSHV Protease,Human gammaherpesvirus 8,HYDROLASE,2,"4p2t,4p3h"
Q7VL18,Putative ABC transporter periplasmic binding protein,[Haemophilus] ducreyi 35000HP,SUGAR BINDING PROTEIN,2,"5yyb,5z99"
Q16644,MAP kinase-activated protein kinase 3,Homo sapiens,TRANSFERASE,2,"3fhr,3fxw"
Q16654,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4,Homo sapiens,TRANSFERASE,2,"2zkj,3d2r"
A0A093VKV7,Envelope glycoprotein,Talaromyces marneffei PM1,LIPID BINDING PROTEIN,2,"5csd,5fb7"
P30114,GLUTATHIONE S-TRANSFERASE,Schistosoma haematobium,TRANSFERASE,2,"1oe7,1oe8"
P29498,FATTY ACID BINDING PROTEIN,Schistosoma mansoni,TRANSPORT PROTEIN,2,"1vyf,1vyg"
Q18014,PUTATIVE GDP-FUCOSE PROTEIN O-FUCOSYLTRANSFERASE 1,Caenorhabditis elegans,TRANSFERASE,2,"3zy2,3zy5"
Q1A2D0,XYLOGLUCANASE,Paenibacillus polymyxa,HYDROLASE,2,"2yjq,3zq9"
P29029,ENDOCHITINASE,Saccharomyces cerevisiae,HYDROLASE,2,"2uy5,4txe"
Q1PBJ5,Apical membrane antigen-1,Plasmodium falciparum,PEPTIDE BINDING PROTEIN,2,"6n7q,6n87"
P37173,TGF-beta receptor type-2,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,2,"5e91,5qin"
P27907,NEURAMINIDASE,Influenza B virus (STRAIN B/BEIJING/1/87),HYDROLASE,2,"1a4g,1a4q"
Q9NSY1,BMP-2-inducible protein kinase,Homo sapiens,TRANSFERASE,2,"4w9w,4w9x"
Q2FWC7,Type II pantothenate kinase,Staphylococcus aureus subsp. aureus MW2,Transferase/Transferase Inhibitor,2,"5elz,5jic"
G3XCV0,Nitrogen assimilation regulatory protein,Pseudomonas aeruginosa,TRANSCRIPTION,2,"6j7e,6jdi"
P27577,Protein C-ets-1,Mus musculus,DNA BINDING PROTEIN,2,"6da1,6dat"
Q9NRD5,PRKCA-binding protein,Homo sapiens,PEPTIDE BINDING PROTEIN,2,"6ar4,6bjo"
Q839Z1,DNA gyrase subunit B,Enterococcus faecalis V583,Isomerase/Isomerase inhibitor,2,"4gfn,4hxw"
Q25756,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE,Plasmodium falciparum,ISOMERASE/IMMUNOSUPPRESSANT,2,"1qng,1qnh"
Q86PD7,"CG5976, isoform B",Drosophila melanogaster,"TRANSFERASE, HYDROLASE",2,"4fai,4fbe"
Q2V6H4,Chitinase,Ostrinia furnacalis,HYDROLASE,2,"3wqv,3wqw"
P31939,Bifunctional purine biosynthesis protein PURH,Homo sapiens,"TRANSFERASE, HYDROLASE",2,"1pkx,5uz0"
E8MF12,N-acetylhexosamine 1-phosphate kinase,Bifidobacterium longum,TRANSFERASE,2,"4ock,4ocp"
Q16512,Serine/threonine-protein kinase N1,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,2,"4oth,4oti"
Q14416,Metabotropic glutamate receptor 2,Homo sapiens,SIGNALING PROTEIN,2,"4xaq,4xas"
Q14790,Caspase-8,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,2,"4jj7,4ps1"
D6E1Y1,"Carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)",Agathobacter rectalis DSM 17629,TRANSPORT PROTEIN,2,"4ua8,4uac"
Q3TBT3,Stimulator of interferon genes protein,Mus musculus,IMMUNE SYSTEM,2,"4kby,4loj"
Q38CA1,"Hypoxanthine-guanine phosphoribosyltransferase, putative",Trypanosoma brucei brucei TREU927,TRANSFERASE,2,"6ar9,6mxc"
D7Y2H5,E. coli MS115-1 NucC 2-241,Escherichia coli MS 115-1,DNA BINDING PROTEIN,2,"6p7p,6p7q"
Q9PPB4,4-hydroxy-tetrahydrodipicolinate synthase,Campylobacter jejuni,LYASE/LYASE inhibitor,2,"5f1u,5f1v"
V5YAB1,Protease PR5-DRV,Human immunodeficiency virus 1,HYDROLASE/HYDROLASE INHIBITOR,2,"5kr1,5kr2"
P35558,"PHOSPHOENOLPYRUVATE CARBOXYKINASE, CYTOSOLIC",Homo sapiens,LYASE,2,"1nhx,2gmv"
Q79MP6,IMP-1 METALLO BETA-LACTAMASE,Pseudomonas aeruginosa,HYDROLASE,2,"1jje,1jjt"
Q6P988,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,HYDROLASE,2,"6r8q,6r8r"
Q38BV6,Enolase,Trypanosoma brucei,LYASE,2,"2ptz,2pu0"
E1VBK1,PERIPLASMIC SUBSTRATE BINDING PROTEIN,Halomonas elongata,TRANSPORT,2,"2vpn,2vpo"
Q7D447,Deoxyfructosyl-amino Acid Transporter Periplasmic Binding Protein,Agrobacterium fabrum str. C58,TRANSPORT PROTEIN,2,"5l9o,5lom"
Q32ZE1,NS3 protease,Zika virus,HYDROLASE/HYDROLASE INHIBITOR,2,"5zms,5zob"
P32951,Sapp1p-secreted aspartic protease 1,Candida parapsilosis,HYDROLASE,2,"3fv3,3tne"
Q15561,Transcriptional enhancer factor TEF-3,Homo sapiens,TRANSCRIPTION,2,"6q36,6sen"
P32542,EIAV PROTEASE,Equine infectious anemia virus,HYDROLASE (ACID PROTEINASE),2,"1fmb,2fmb"
A0A0D2ILK1,Lactonase for protein,Rhinocladiella mackenziei CBS 650.93,HYDROLASE,2,"5xo7,5z7j"
Q6PFX9,Tankyrase-1,Mus musculus,TRANSFERASE/TRANSFERASE INHIBITOR,2,"4n4t,6cf6"
P49760,Dual specificity protein kinase CLK2,Homo sapiens,TRANSFERASE,2,"6fyk,6fyl"
C6H0Y9,Polymerase acidic protein,Influenza A virus (A/Luxembourg/43/2009(H1N1)),VIRAL PROTEIN/INHIBITOR,2,"6nel,6nem"
P63000,ras-related C3 botulinum toxin substrate 1 isoform Rac1b,Homo sapiens,HYDROLASE,2,"1ryf,1ryh"
P86993,Lectin,Bauhinia forficata,SUGAR BINDING PROTEIN,2,"5t52,5t54"
Q05320,"Envelope glycoprotein,Envelope glycoprotein,Envelope glycoprotein","Ebola virus - Mayinga, Zaire, 1976",VIRAL PROTEIN,2,"6hro,6hs4"
P84887,"Aromatic amine dehydrogenase; chain D, H",Alcaligenes faecalis,OXIDOREDUCTASE,2,"2hj4,2q7q"
Q9VRQ9,CG32412,Drosophila melanogaster,"TRANSFERASE, HYDROLASE",2,"4f9u,4f9v"
P81180,Cyanovirin-N,Nostoc ellipsosporum,ANTIVIRAL PROTEIN,2,"3gxy,3gxz"
Q9VQ91,GH18329p,Drosophila melanogaster,PROTEIN BINDING,2,"5ygd,5ygf"
Q5HSJ4,ATP phosphoribosyltransferase,Campylobacter jejuni RM1221,TRANSFERASE,2,"4yb6,5ubg"
Q9UZ14,Threonyl-tRNA synthetase,Pyrococcus abyssi,LIGASE,2,"3pd2,4rrq"
Q4WPS9,CaaX farnesyltransferase beta subunit Ram1,Aspergillus fumigatus Af293,TRANSFERASE,2,"4lnb,4lng"
P76141,Transcriptional regulator LsrR,Escherichia coli K-12,TRANSCRIPTION REGULATOR,2,"4l4z,4l50"
Q4W803,Oligopeptidase,Geobacillus sp. MO-1,HYDROLASE/HYDROLASE INHIBITOR,2,"3ahn,3aho"
Q9NQG6,Mitochondrial dynamic protein MID51,Homo sapiens,TRANSFERASE,2,"4nxu,4nxv"
Q5SH52,GTP cyclohydrolase I,Thermus thermophilus,HYDROLASE,2,"1wuq,1wur"
P70365,STEROID RECEPTOR COACTIVATOR 1A,Mus musculus,TRANSCRIPTIONAL COACTIVATOR,2,"1oj5,5y7w"
A8B2U2,"Putative fructose-1,6-bisphosphate aldolase",Giardia duodenalis,LYASE,2,"2isv,2isw"
P69441,Adenylate kinase,Escherichia coli,TRANSFERASE,2,"4x8o,5eje"
Q9Y3Q0,Glutamate carboxypeptidase III,Homo sapiens,HYDROLASE,2,"3fed,3fee"
Q9Y3Q4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,Homo sapiens,TRANSPORT PROTEIN,2,"3otf,4nvp"
A8C927,16S rRNA methylase,Escherichia coli,TRANSFERASE,2,"3p2e,3pb3"
Q9UNE7,E3 ubiquitin-protein ligase CHIP,Homo sapiens,LIGASE,2,"6efk,6nsv"
Q5SLE7,Peptidyl-prolyl cis-trans isomerase SlyD,Thermus thermophilus,"ISOMERASE, CHAPERONE",2,"4odm,4odn"
Q5SLI8,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Thermus thermophilus HB8,OXIDOREDUCTASE,2,"4s3e,4s3f"
P63167,"DYNEIN LIGHT CHAIN 1, CYTOPLASMIC",Homo sapiens,CONTRACTILE PROTEIN/PEPTIDE,2,"3zke,6gzl"
Q4QBL1,Farnesyl pyrophosphate synthase,Leishmania major,TRANSFERASE/TRANSFERASE INHIBITOR,2,"4jzb,4k10"
P63165,Small ubiquitin-related modifier 1,Homo sapiens,NUCLEAR PROTEIN/PROTEIN BINDING,2,"6uyx,6uyy"
P95607,"Catechol 1,2-dioxygenase",Rhodococcus opacus,OXIDOREDUCTASE,2,"3i4y,3i51"
Q04760,PROTEIN (LACTOYLGLUTATHIONE LYASE),Homo sapiens,LYASE,2,"1qin,3vw9"
P97477,serine/threonine kinase 6,Mus musculus,TRANSFERASE,2,"3d14,3daj"
A4GRE3,Macrophage migration inhibitory factor,Ancylostoma ceylanicum,ISOMERASE/ISOMERASE INHIBITOR,2,"3rf4,3rf5"
A2RJ53,Oligopeptide-binding protein oppA,Lactococcus cremoris subsp. cremoris MG1363,PEPTIDE BINDING PROTEIN,2,"3drf,3drg"
P9WPQ5,ATP-dependent dethiobiotin synthetase BioD,Mycobacterium tuberculosis H37Rv,TRANSFERASE,2,"6cve,6cvf"
P9WPA7,PANTOTHENATE KINASE,Mycobacterium tuberculosis H37Rv,TRANSFERASE,2,"4bfy,4bfz"
P9WP01,PURINE NUCLEOSIDE PHOSPHORYLASE,Mycobacterium tuberculosis,TRANSFERASE,2,"1g2o,1i80"
Q53EZ4,Centrosomal protein of 55 kDa,Homo sapiens,Cell cycle/Transport Protein,2,"3e1r,3wut"
Q00688,FKBP25,Homo sapiens,ISOMERASE,2,"1pbk,5d75"
Q9X1T1,phosphodiesterase TM1595,Thermotoga maritima MSB8,HYDROLASE,2,"5o4z,5o58"
P9WNU1,DNA POLYMERASE III SUBUNIT BETA,Mycobacterium tuberculosis H37Rv,TRANSFERASE,2,"5agu,5agv"
A2VLK3,1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE,Mycobacterium tuberculosis H37Rv,OXIDOREDUCTASE,2,"2y1d,2y1g"
P9WKX5,Putative ATPase Rv3679,Mycobacterium tuberculosis H37Rv,UNKNOWN FUNCTION,2,"6bs3,6bs4"
Q9Y223,BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE/N-ACETYLMANNOSAMINE KINASE,Homo sapiens,TRANSFERASE,2,"2yhw,2yhy"
Q57986,FERROUS IRON TRANSPORT PROTEIN B HOMOLOG,Methanocaldococcus jannaschii,METAL TRANSPORT,2,"2wjg,2wji"
P97571,Calpain-1 catalytic subunit,Rattus norvegicus,HYDROLASE,2,"2nqg,2nqi"
A5F5R2,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Vibrio cholerae O395,hydrolase/hydrolase inhibitor,2,"4wkb,4x24"
Q02RL6,tRNA (guanine-N(1)-)-methyltransferase,Pseudomonas aeruginosa UCBPP-PA14,TRANSFERASE,2,"5wyr,6joe"
P9WHQ9,Hypoxanthine-guanine phosphoribosyltransferase,Mycobacterium tuberculosis H37Ra,transferase/transferase inhibitor,2,"4rhx,4rhy"
A0ACD6B9N9,Carbon regulatory PII-like protein SbtB,Cyanobium sp. PCC 7001,SIGNALING PROTEIN,2,"6mm2,6ntb"
Q03137,EPHRIN TYPE-A RECEPTOR 4,Mus musculus,TRANSFERASE,2,"2xyu,2y6o"
P9WFX9,Tryptophan synthase beta chain,Mycobacterium tuberculosis H37Rv,LYASE,2,"5tci,5tcj"
A5K302,Aspartic protease PM5,Plasmodium vivax,hydrolase/hydrolase inhibitor,2,"4zl4,6c4g"
Q03555,gephyrin,Rattus norvegicus,STRUCTURAL PROTEIN,2,"2fts,6fgc"
Q04724,TRANSDUCIN-LIKE ENHANCER PROTEIN 1,Homo sapiens,TRANSCRIPTION REGULATION,2,"2ce9,5mwj"
P9WFK7,N-acetyltransferase Eis,Mycobacterium tuberculosis H37Rv,transferase/transferase inhibitor,2,"6p3t,6p3v"
Q04759,"Protein kinase C, theta type",Homo sapiens,TRANSFERASE,2,"1xjd,5f9e"
A8M6W6,CymD prenyltransferase,Salinispora arenicola CNS-205,TRANSFERASE,2,"6os5,6os6"
Q9UM07,Protein-arginine deiminase type-4,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,2,"3b1t,3b1u"
P45984,Mitogen-activated protein kinase 9,Homo sapiens,TRANSFERASE,2,"3e7o,3npc"
Q9Y5K2,Kallikrein-4,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,2,"4k1e,6o21"
P52679,PCP degradation transcriptional activation protein,Sphingobium chlorophenolicum,TRANSCRIPTION,2,"4rpn,4rpo"
B7QK46,"Glutaminyl cyclase, putative",Ixodes scapularis,TRANSFERASE,2,"4mhy,4mhz"
P52298,20 KDA NUCLEAR CAP BINDING PROTEIN,Homo sapiens,NUCLEAR PROTEIN,2,"1h2t,1h2u"
A0A0J9WZF0,"Topoisomerase IV, subunit B",Francisella tularensis subsp. holarctica LVS,isomerase/isomerase inhibitor,2,"4hy1,4hym"
B8XX90,Stimulator of interferon genes protein,Sus scrofa,SIGNALING PROTEIN,2,"6a04,6a06"
Q12866,Tyrosine-protein kinase Mer,Homo sapiens,Transferase/Transferase Inhibitor,2,"5k0x,5tc0"
Q6DPL2,Neuraminidase,Influenza A virus (A/Viet Nam/1203/2004(H5N1)),"VIRAL PROTEIN, HYDROLASE",2,"3ckz,3cl0"
Q9SRM4,PHD finger protein ALFIN-LIKE 2,Arabidopsis thaliana,GENE REGULATION,2,"5xvw,5y21"
Q47030,Aminoglycoside N(3)-acetyltransferase,Enterobacter cloacae,TRANSFERASE,2,"6np2,6np3"
Q12959,Disks large homolog 1,Homo sapiens,MEMBRANE PROTEIN/SIGNALING PROTEIN,2,"3rl8,4g69"
Q46822,ISOPENTENYL DIPHOSPHATE DELTA-ISOMERASE,Escherichia coli,ISOMERASE,2,"1q54,2vnp"
S4UY05,HCV NS3/4A protease,Hepacivirus hominis,viral protein/inhibitor,2,"6nzt,6nzv"
A0A0H3JRN6,SA2223 protein,Staphylococcus aureus subsp. aureus N315,UNKNOWN FUNCTION,2,"5kau,5kcb"
Q9RS96,DR2231,Deinococcus radiodurans,HYDROLASE,2,"5hva,5hwu"
P48825,Beta-glucosidase 1,Aspergillus aculeatus,HYDROLASE,2,"4iid,4iif"
C5AP93,Methylmalonyl-CoA mutase accessory protein,Methylorubrum extorquens AM1,HYDROLASE,2,"4jyb,4jyc"
C5MK56,MHC class I antigen,Homo sapiens,IMMUNE SYSTEM,2,"4pra,4prp"
Q13432,Protein unc-119 homolog A,Homo sapiens,Protein Transport/Lipid Binding Protein,2,"3rbq,5l7k"
Q6N193,Uncharacterized protein family UPF0065:Tat pathway signal,Rhodopseudomonas palustris CGA009,TRANSPORT PROTEIN,2,"5oei,5oku"
P47228,"BIPHENYL-2,3-DIOL 1,2-DIOXYGENASE",Paraburkholderia xenovorans LB400,OXIDOREDUCTASE,2,"1kmy,1lgt"
C6A6Z1,SUGAR TRANSPORTER SOLUTE-BINDING PROTEIN,Bifidobacterium animalis subsp. lactis Bl-04,TRANSPORT PROTEIN,2,"4c1t,4c1u"
C6EAB7,METHIONINE AMINOPEPTIDASE,Escherichia coli BL21(DE3),TRANSFERASE,2,"4a6v,4a6w"
P46881,PHENYLETHYLAMINE OXIDASE,Arthrobacter globiformis,OXIDOREDUCTASE,2,"2cfd,2cfg"
P46598,Heat shock protein 90 homolog,Candida albicans SC5314,CHAPERONE,2,"6cjr,6cjs"
P46108,Adapter molecule crk,Homo sapiens,VIRAL PROTEIN,2,"5ul6,6atv"
Q10QA5,Probable strigolactone esterase D14,Oryza sativa Japonica Group,HYDROLASE,2,"5dj5,6ap8"
Q9UBN7,Histone deacetylase 6,Homo sapiens,HYDROLASE,2,"6ce6,6ced"
P53368,"7,8-dihydro-8-oxoguanine triphosphatase",Mus musculus,HYDROLASE,2,"5mzg,6ehh"
Q07912,Activated CDC42 kinase 1,Homo sapiens,TRANSFERASE,2,"3eqr,4ewh"
P62575,NEURAMINIDASE A,Streptococcus pneumoniae TIGR4,HYDROLASE,2,"2ya6,2ya8"
Q07785,CELL DIVISION CONTROL PROTEIN 2 HOMOLOG,Plasmodium falciparum,TRANSFERASE,2,"1v0o,1v0p"
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,2,"3tku,4ual"
B0B0V1,Acarbose/maltose binding protein GacH,Streptomyces glaucescens,TRANSPORT PROTEIN,2,"3k00,3k02"
Q5VWG9,Transcription initiation factor TFIID subunit 3,Homo sapiens,HYDROLASE,2,"5c13,5wxh"
Q62986,ESTROGEN RECEPTOR BETA,Rattus norvegicus,NUCLEAR RECEPTOR,2,"1qkn,2j7x"
P60045,Phospholipase A2,Naja sagittifera,HYDROLASE/HYDROLASE INHIBITOR,2,"1mf4,1oxr"
B0VD92,Aminoglycoside 3'-phosphotransferase AphA1-IAB,Acinetobacter baumannii AYE,TRANSFERASE/TRANSFERASE INHIBITOR,2,"4fev,4few"
B1WBP0,Metallophosphoesterase MPPED2,Rattus norvegicus,HYDROLASE,2,"3rl3,3rl4"
P56740,Dihydroneopterin aldolase,Staphylococcus aureus,LYASE,2,"1rri,1rsd"
Q9UIF9,Bromodomain adjacent to zinc finger domain protein 2A,Homo sapiens,TRANSCRIPTION,2,"4q6f,6fkp"
P56109,Fructose-bisphosphate aldolase,Helicobacter pylori,LYASE,2,"3c52,3c56"
P53617,Protein NRD1,Saccharomyces cerevisiae,TRANSCRIPTION,2,"6o3w,6o3x"
A0A1P8NWC2,TAU CLASS GLUTATHIONE S-TRANSFERASE,Mangifera indica,TRANSFERASE,2,"5g5f,5kej"
B3PEE6,Oligosaccharide 4-alpha-D-glucosyltransferase,Cellvibrio japonicus Ueda107,TRANSFERASE,2,"5i23,5npd"
Q4DA73,"Spermidine synthase, putative",Trypanosoma cruzi strain CL Brener,TRANSFERASE,2,"4yuw,4yuz"
B3PGI1,"ENDO-1,4-BETA MANNANASE, PUTATIVE, MAN26C",Cellvibrio japonicus Ueda107,HYDROLASE,2,"4cd4,4cd5"
P54818,GALACTOCEREBROSIDASE,Mus musculus,HYDROLASE,2,"4ufh,4ufi"
Q47537,Taurine-binding periplasmic protein,Escherichia coli K-12,TRANSPORT PROTEIN,2,"6st0,6stl"
Q0T8Y8,FimH protein,Escherichia coli 536,CELL ADHESION,2,"4xoc,4xoe"
Q9UHI8,A disintegrin and metalloproteinase with thrombospondin motifs 1,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,2,"3q2g,3q2h"
P54274,Telomeric repeat-binding factor 1,Homo sapiens,DNA BINDING PROTEIN,2,"5wir,5xup"
Q9ZLT0,GLUTAMATE RACEMASE,Helicobacter pylori,ISOMERASE,2,"2jfz,2w4i"
Q10471,POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 2,Homo sapiens,TRANSFERASE,2,"5ajp,5ndf"
P72583,Ycf53-like protein,Synechocystis sp. PCC 6803 substr. Kazusa,LIGAND BINDING PROTEIN,2,"4xkb,4xkc"
Q26997,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,Toxoplasma gondii RH,TRANSFERASE,2,"1fsg,1qk3"
P26660,RNA dependent RNA polymerase,Hepacivirus hominis,VIRAL PROTEIN,2,"1yvx,1yvz"
P00338,L-lactate dehydrogenase A chain,Homo sapiens,OXIDOREDUCTASE,2,"5w8i,5w8j"
Q8IYT8,Serine/threonine-protein kinase ULK2,Homo sapiens,TRANSFERASE,2,"6qau,6qav"
P14489,BETA-LACTAMASE OXA-10,Pseudomonas aeruginosa,HYDROLASE,2,"5fq9,6rtn"
P14350,PFV integrase,Human spumaretrovirus,RECOMBINATION/INHIBITOR/DNA,2,"3s3m,3s3n"
O28751,HYPOTHETICAL PROTEIN AF1521,Archaeoglobus fulgidus,MACRO_H2A DOMAIN/HYDROLASE,2,"2bfq,2bfr"
P14240,RNA-directed RNA polymerase L,Mammarenavirus choriomeningitidis,TRANSFERASE,2,"5ltn,5t2t"
O29280,osmoprotection protein (proX),Archaeoglobus fulgidus DSM 4304,PROTEIN BINDING,2,"1sw1,1sw2"
P13995,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Homo sapiens,OXIDOREDUCTASE,2,"6jib,6jid"
O32080,YuaA protein,Bacillus subtilis,TRANSPORT PROTEIN,2,"2hmu,2hmv"
P13569,Cystic fibrosis transmembrane conductance regulator,Homo sapiens,HYDROLASE,2,"2pze,4wz6"
P13513,Trichodiene synthase,Fusarium sporotrichioides,LYASE,2,"1yyr,2ael"
P08172,"Muscarinic acetylcholine receptor M2,Apo-cytochrome b562,Muscarinic acetylcholine receptor M2",Homo sapiens,MEMBRANE PROTEIN/INHIBITOR,2,"5yc8,5zkc"
P08716,Alpha-hemolysin translocation ATP-binding protein hlyB,Escherichia coli,TRANSPORT PROTEIN,2,"2pmk,3b5j"
P00268,"P2Y purinoceptor 1, Rubredoxin, P2Y purinoceptor 1",Homo sapiens,TRANSPORT PROTEIN/INHIBITOR,2,"4xnv,6iiu"
O32253,Central glycolytic gene regulator,Bacillus subtilis,GENE REGULATION,2,"3bxe,3bxf"
P13051,Uracil-DNA glycosylase,Homo sapiens,HYDROLASE,2,"2hxm,3fci"
Q92WC8,Putative ABC transporter amino acid-binding protein,Sinorhizobium meliloti,TRANSPORT PROTEIN,2,"2q88,2q89"
P13009,Methionine synthase,Escherichia coli K-12,TRANSFERASE,2,"6bdy,6bm5"
P08487,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",Bos taurus,HYDROLASE,2,"5tq1,5tqs"
Q9C2K9,Importin subunit alpha,Neurospora crassa,TRANSPORT PROTEIN,2,"4rxh,5vqi"
Q8MTC1,pheromone binding protein,Rhyparobia maderae,TRANSPORT PROTEIN,2,"1ow4,1p28"
O34667,S-ribosylhomocysteine lyase,Bacillus subtilis,LYASE,2,"2fqo,2fqt"
O95166,Gamma-aminobutyric acid receptor-associated protein,Homo sapiens,TRANSPORT PROTEIN,2,"3d32,4xc2"
Q9BMI9,Purine-nucleoside phosphorylase,Schistosoma mansoni,TRANSFERASE,2,"3djf,3e0q"
O28471,RIO-type serine/threonine-protein kinase Rio1,Archaeoglobus fulgidus,TRANSFERASE/ANTIBIOTIC,2,"3re4,4jin"
P14751,MODIFICATION METHYLASE RSRI,Cereibacter sphaeroides,TRANSFERASE,2,"1nw5,1nw7"
Q95NY5,D7 protein,Anopheles stephensi,TRANSPORT PROTEIN,2,"3nhi,3nht"
Q8I5R7,Proline--tRNA ligase,Plasmodium falciparum 3D7,LIGASE,2,"4q15,4wi1"
P05981,Serine protease hepsin,Homo sapiens,"serine protease, hydrolase",2,"1o5e,1o5f"
P00698,Lysozyme C,Gallus gallus,HYDROLASE/HYDROLASE INHIBITOR,2,"4hp0,4tun"
O14976,Cyclin-G-associated kinase,Homo sapiens,TRANSFERASE,2,"4y8d,5y80"
Q8IDQ9,Phosphoethanolamine N-methyltransferase,Plasmodium falciparum,TRANSFERASE,2,"3ujb,4r6w"
Q8IEW2,Peroxin 14,Trypanosoma brucei brucei,SIGNALING PROTEIN,2,"5l87,5n8v"
P17050,Alpha-N-acetylgalactosaminidase,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,2,"4do4,4do5"
O15540,"FATTY ACID-BINDING PROTEIN, BRAIN",Homo sapiens,LIPID BINDING PROTEIN,2,"1fdq,5ura"
P06721,Cystathionine beta-lyase,Escherichia coli,LYASE,2,"2fq6,2gqn"
O15826,DUTPASE,Leishmania major,HYDROLASE,2,"2yay,2yaz"
O23346,"Imidazoleglycerol-phosphate dehydratase 2, chloroplastic",Arabidopsis thaliana,LYASE,2,"5el9,5elw"
O24872,Dethiobiotin synthetase,Helicobacter pylori 26695,LIGASE,2,"3qxc,3qxh"
P06737,LIVER GLYCOGEN PHOSPHORYLASE,Homo sapiens,TRANSFERASE,2,"1em6,1exv"
P15167,Snake venom metalloproteinase atrolysin-D,Crotalus atrox,HYDROLASE/HYDROLASE INHIBITOR,2,"1atl,1dth"
P07254,CHITINASE A,Serratia marcescens,HYDROLASE,2,"2wk2,2wly"
P07267,PROTEINASE A,Saccharomyces cerevisiae,HYDROLASE/HYDROLASE INHIBITOR,2,"1fq5,2jxr"
Q8IVV7,Glucose-induced degradation protein 4 homolog,Homo sapiens,PEPTIDE BINDING PROTEIN,2,"6cdc,6cdg"
P07332,Tyrosine-protein kinase Fes/Fps,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,2,"4e93,6jmf"
Q9BH77,enoyl-acyl carrier reductase,Plasmodium falciparum,OXIDOREDUCTASE,2,"1nhg,1nnu"
P07339,CATHEPSIN D,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,2,"1lyb,4od9"
P14756,Elastase,Pseudomonas aeruginosa,HYDROLASE,2,"6f8b,6fzx"
P08659,Luciferin 4-monooxygenase,Photinus pyralis,OXIDOREDUCTASE,2,"3ies,4e5d"
Q92831,Histone acetyltransferase KAT2B,Homo sapiens,SIGNALING PROTEIN,2,"5fdz,6j3o"
P18886,"Carnitine O-palmitoyltransferase II, mitochondrial",Rattus norvegicus,TRANSFERASE,2,"2fw3,2rcu"
P0AFG8,Pyruvate dehydrogenase E1 component,Escherichia coli,OXIDOREDUCTASE,2,"1rp7,2qta"
P0A720,PROTEIN (THYMIDYLATE KINASE),Escherichia coli,TRANSFERASE,2,"4tmk,5tmp"
Q8RLA6,Beta-lactamase,Acinetobacter baumannii,HYDROLASE,2,"4wm9,5vfd"
O53512,Probable 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG,Mycobacterium tuberculosis,TRANSFERASE/TRANSFERASE INHIBITOR,2,"3pfp,3rzi"
Q8Y8D7,NAD kinase 1,Listeria monocytogenes EGD-e,TRANSFERASE,2,"5dhq,5dhu"
